Timestamp,Gender,Where are you based?,"Where do you mainly conduct your research (i.e., where do you do fieldwork/get your samples from)?",What is your main field of research (please choose maximum 2)?,What is your current position?,What software for data and statistical analysis do you use in your research (tick all applicable)?,What software do you use for writing (tick all applicable)?,What software do you use for data visualisation (tick all applicable)?,"If you kNow and/or use open access repositories, can you briefly tell us which?",Have you published any paper/s (Not necessarily phytolith-related and Not necessarily as first author)?,Would you like to publish gold open access?,In what case would you consider publishing gold open access?,Why do you think you will Not publish gold open access?,Will you consider publishing pre-prints of your work?,Do you kNow which pre-print server you are most likely to use?,Can you tell us which and why you think it is most appropriate?,Can you tell us why?,8. Have you published your work using gold open access?,Why did you choose to publish gold open access?,Why have you never published gold open access?,Have you published a pre-print version of your papers?,Give us an assessment (1 = only once; 5 = all my papers),How did you choose which pre-print server you published with?,Can you tell us why?,How do you Normally describe the methods in your papers?,Do you generally consider that your methods are replicable?,How many papers that include new phytolith data have you published?,"How many of your published papers (as a percentage of your total papers) contain raw data, either in the paper itself, in supplementary files or deposited in open access repositories?",How did you publish your raw data (check all that apply)?,If you have never published raw data can you tell us why?,"Would you be interested in receiving some sort of recognition for producing open phytolith data and papers (for example, getting an Open Badge)?",Would you be interested in kNowing more about open data possibilities for phytolith researchers?,"What would be your preferred method to be kept informed about phytolith open data (news, results, campaigns, etc.)?",Would you be willing to contribute to our community effort to improve data sharing in phytolith research?,,,
2021/06/21 2:24:58 pm CET,Female,Europe,Africa;Americas;Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Senior researcher (tenured),CANoCO;Microsoft Excel;R,Google Docs;PAGES,R;NUMBERS,GITHUB,Yes,,,,,,,,Yes,"It was required to by the funding body;I planned for it as part of the project (you budgeted for this);It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,No,,,"I do Not think it is useful;I think it is too much work;We can wait 2-3 weeks for having things properly published, No need to rush.",I describe everything in detail,Yes,More than 5,3,"As table in the main text;As supplementary file;In a personal repository (e.g., GitHub, personal webpage, etc.)",,"I think journals should foster this, I do Not think we need more indexes or rankings, etc...",Maybe,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/06/21 3:22:44 pm CET,Prefer Not to say,Europe,Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Professional (Non-academic),Microsoft Excel;R;SPSS;PAST,Google Docs;Microsoft Word,Illustrator;Tilia,DANS/EASY,Yes,,,,,,,,No,,I would have liked to but had No money to pay for APCs;my institute does Not have any agreements that cover open access publications,No,,,I think it is too much work;Not sure I understand all aspects of this type of publication,reference to published methods + rest in detail,"Yes, although one probably needs help from a statistician to repeat the statistical analysis",More than 5,4,As supplementary file,,"it is the openness that matters to me, Not the reward/visibility",Maybe,Email,"No - Thank you for your time, the survey ends here!",,,
2021/06/22 11:14:56 am CET,Female,Europe,Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Professional (Non-academic),Microsoft Excel,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",International Phytolith Society,Yes,,,,,,,,No,,I do Not think it is worth paying for this option,No,,,My co-authors did Not agree,I describe everything in detail,Yes,More than 5,2,As table in the main text,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/06/22 2:10:48 pm CET,Female,Europe,Africa;Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.);Palaeoenvironment",Senior postdoc (7 to 12 years from PhD),Microsoft Excel,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,I have Not published gold so far but I did publish green open access,Yes,1,,,I only reference published methods;I only describe things that deviate from published procedures,Yes,01-May,3,As table in the main text;As supplementary file;online website of the archaeological project,,"happy to do it, Not sure of where 'open badge' would be visible e.g cv/website etc",Yes,Email;twitter etc is easy to miss updates/and to refind links,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/06/28 11:28:03 am CET,Female,Europe,Americas,Palaeoenvironment;Palaeontology,Junior postdoc (up to 7 years from PhD),R,LaTex;Microsoft Word,Illustrator;R,,Yes,,,,,,,,No,,publishing open access should be free,No,,,My co-authors did Not agree,I describe everything in detail;I describe them in detail in the SI,Yes,01-May,5,As supplementary file,,"Yes, and it will definitely be an incentive to be more open",Yes,Email,"No - Thank you for your time, the survey ends here!",,,
2021/07/14 9:09:04 am CET,Female,Europe,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",PhD candidate,Microsoft Excel;R,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint);R;Tilia",,Yes,,,,,,,,No,,I do Not think it is worth paying for this option,No,,,I have Not done it so far but I am planning to with my next papers,"I describe everything in detail;I publish them in a methods repository (e.g., protocols.io)",Yes,01-May,0,As table in the main text,,"No, I do Not think it is something that interests me at all",Yes,Email;Twitter,"No - Thank you for your time, the survey ends here!",,,
2021/08/04 7:21:46 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Senior researcher (tenured),Microsoft Excel;ArcGIS,Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint)","tDAR, academia.edu, researchgate.net",Yes,,,,,,,,Yes,I planned for it as part of the project (you budgeted for this),,Yes,2,easy; free,,I only reference published methods;I only describe things that deviate from published procedures;I describe everything in detail,Yes,01-May,2,As table in the main text;As supplementary file,,"Yes, but it will Not make me change my present way of working (i.e., I will Not produce more open work)",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/08/04 9:56:59 pm CET,Female,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Professional (Non-academic),Tilia,WordPerfect,Tilia,,Yes,,,,,,,,No,,"I would have liked to but had No money to pay for APCs;I do Not think it is worth paying for this option;I do Not think gold open access is an ethical choice;Please, do Not place the burden of paying to publish on the researcher. That puts independent researchers at a disadvantage - and their papers will NEVER be published due to lack of funding. What you are saying by valuing ""gold"" open access is that if you don't work for a university, your work is Not valuable eNough to publish (or you could pay us for the privilege).",No,,,I do Not think it is useful;I think it is too much work,"I describe everything in detail;I publish our methods in as much detail as the publisher allows, meaning that some details are included and others are left out.",Yes,More than 5,0,"No, I consider a diagram to be sufficient. After all, the exact counts always change depending on where on the slide you choose to count, depending on which drop of phytoliths you remove from the vial, depending on how you select the dirt from the sample bag, etc. The data are NoT statistically valid.",,"No, I do Not think it is something that interests me at all",Maybe,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/08/05 12:44:24 am CET,Female,Americas,Americas,"Geochemistry;Palaeoenvironment;Mineralogy, Biomineralizations and biogeochemistry",Senior researcher (tenured),Microsoft Excel;R;Infostat,Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R;Tilia",,No,No,,"I would liked to but it will be hard to find money to pay for APCs;I would like to but I think that the fees are too high (i.e., I would pay if fees were lower);The journal I intend to publish with does Not offer this possibility",No,,,I do Not think it is useful;I am afraid of plagiarism,No,,"I have Not published gold so far but I did publish green open access;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",No,,,I am afraid of plagiarism;My co-authors did Not agree;I do Not think Non-peer-reviewed research should be treated as scientific evidence,I only reference published methods;I only describe things that deviate from published procedures,Yes,01-May,3,As table in the main text;As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/08/05 6:25:49 pm CET,Male,Americas,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Senior researcher (tenured),CANoCO;Microsoft Excel;PAST,Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);Tilia",Neotoma,Yes,,,,,,,,Yes,"It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,No,,,I do Not think Non-peer-reviewed research should be treated as scientific evidence,I describe everything in detail,Yes,01-May,4,As supplementary file,,"No, I do Not think it is something that interests me at all",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/08/05 7:37:52 pm CET,Male,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",PhD candidate,Microsoft Excel,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,"I would have liked to but had No money to pay for APCs;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",No,,,I do Not think it is useful,I describe everything in detail,Yes,01-May,5,As table in the main text,,"No, I do Not think it is something that interests me at all",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
